"participant","id","nBlock","nSubBlock","map","technique","cameraTransition","renderingOrder","training","errorCount","timeFromStart","timeFromStreet","streetCount","firstAnswerFromStart","firstAnswerFromStreet","timeout","firstErrorMeasure","meanErrorMeasure"
"11",27,1,0,17,"Goto","ZF","CF",false,0,28.048,6.802,1,28.048,6.802,false,0,0
"11",28,1,1,22,"Goto","RF","RF",true,0,29.65,2.445,1,29.65,2.445,false,0,0
"11",29,1,1,1,"Goto","RF","RF",false,0,14.635,2.806,1,14.635,2.806,false,0,0
"11",30,1,1,42,"Goto","RF","RF",false,0,13.608,2.966,1,13.608,2.966,false,0,0
"11",31,1,1,46,"Goto","RF","RF",false,0,12.81,1.809,1,12.809,1.808,false,0,0
"11",32,1,2,51,"Goto","ZF","Coupled",true,0,11.616,1.858,1,11.616,1.858,false,0,0
"11",33,1,2,32,"Goto","ZF","Coupled",false,0,15.84,2.544,1,15.84,2.544,false,0,0
"11",34,1,2,15,"Goto","ZF","Coupled",false,3,67.597,54.423,1,15.603,2.429,false,0.18409885976137616,0.34157346334395977
"11",35,1,2,47,"Goto","ZF","Coupled",false,1,18.482,3.839,1,16.673,2.03,false,0.2094703127399557,0.2094703127399557
"11",36,1,3,20,"Goto","RF","Coupled",true,0,16.552,2.744,1,16.552,2.744,false,0,0
"11",37,1,3,24,"Goto","RF","Coupled",false,0,14.833,2.704,1,14.833,2.704,false,0,0
"11",38,1,3,2,"Goto","RF","Coupled",false,0,12.392,2.602,1,12.392,2.602,false,0,0
"11",39,1,3,53,"Goto","RF","Coupled",false,0,16.575,2.183,1,16.575,2.183,false,0,0
"11",40,1,4,4,"Goto","ZF","RF",true,0,22.445,2.798,1,22.445,2.798,false,0,0
"11",41,1,4,55,"Goto","ZF","RF",false,0,12.866,2.612,1,12.866,2.612,false,0,0
"11",42,1,4,29,"Goto","ZF","RF",false,0,14.374,2.975,1,14.374,2.975,false,0,0
"11",43,1,4,25,"Goto","ZF","RF",false,0,17.557,2.623,1,17.557,2.623,false,0,0
"11",44,1,5,8,"Goto","RF","CF",true,1,15.642,4.756,1,13.198,2.312,false,0.20306291824567368,0.20306291824567368
"11",45,1,5,7,"Goto","RF","CF",false,0,12.178,1.944,1,12.178,1.944,false,0,0
"11",46,1,5,41,"Goto","RF","CF",false,1,25.563,14.713,1,13.986,3.136,false,0.8250907889954092,0.8250907889954092
"11",47,1,5,11,"Goto","RF","CF",false,2,31.368,20,1,13.493,2.125,false,0.19710291951197656,0.19710291951197656
"12",0,0,0,12,"Goto","ZF","CF",true,1,196.733,164.214,3,111.086,78.567,false,0.9607689796000182,0.9607689796000182
"12",1,0,0,27,"Goto","ZF","CF",false,0,26.254,7.462,1,26.254,7.462,false,0,0
"12",2,0,0,5,"Goto","ZF","CF",false,0,15.796,2.949,1,15.796,2.949,false,0,0
"12",3,0,0,10,"Goto","ZF","CF",false,0,24.597,8.492,1,24.597,8.492,false,0,0
"12",4,0,1,58,"Goto","RF","CF",true,0,21.557,8.738,1,21.557,8.738,false,0,0
"12",5,0,1,14,"Goto","RF","CF",false,0,12.712,2.523,1,12.712,2.523,false,0,0
"12",6,0,1,28,"Goto","RF","CF",false,1,31.055,17.413,1,29.413,15.771,false,0.20280358634323564,0.20280358634323564
"12",7,0,1,43,"Goto","RF","CF",false,0,15.935,5.568,1,15.935,5.568,false,0,0
"12",8,0,2,31,"Goto","RF","Coupled",true,0,21.046,8.406,1,21.046,8.406,false,0,0
"12",9,0,2,23,"Goto","RF","Coupled",false,0,16.389,3.733,1,16.389,3.733,false,0,0
"12",10,0,2,30,"Goto","RF","Coupled",false,2,39.551,17.849,1,28.806,7.104,false,0.6377447274463821,0.5005691014895868
"12",11,0,2,54,"Goto","RF","Coupled",false,0,11.735,1.395,1,11.735,1.395,false,0,0
"12",12,0,3,44,"Goto","ZF","RF",true,0,11.157,1.232,1,11.157,1.232,false,0,0
"12",13,0,3,3,"Goto","ZF","RF",false,0,28.676,7.469,1,28.676,7.469,false,0,0
"12",14,0,3,26,"Goto","ZF","RF",false,0,47.063,9.807,1,47.062,9.806,false,0,0
"12",15,0,3,34,"Goto","ZF","RF",false,0,21.26,5.713,1,21.26,5.713,false,0,0
"12",16,0,4,9,"Goto","ZF","Coupled",true,0,17.839,4.827,1,17.839,4.827,false,0,0
"12",17,0,4,49,"Goto","ZF","Coupled",false,0,14.669,1.662,1,14.669,1.662,false,0,0
"12",18,0,4,52,"Goto","ZF","Coupled",false,1,20.495,8.87,1,16.898,5.273,false,0.28681276911918474,0.28681276911918474
"12",19,0,4,40,"Goto","ZF","Coupled",false,0,11.55,1.951,1,11.55,1.951,false,0,0
"12",20,0,5,13,"Goto","RF","RF",true,0,13.922,2.977,1,13.922,2.977,false,0,0
"12",21,0,5,50,"Goto","RF","RF",false,0,12.475,2.122,1,12.475,2.122,false,0,0
"12",22,0,5,21,"Goto","RF","RF",false,0,17.848,7.197,1,17.848,7.197,false,0,0
"12",23,0,5,6,"Goto","RF","RF",false,5,60.795,47.785,1,30.901,17.891,false,0.3624829122198326,0.554114000791728
"12",24,1,0,33,"Draggo","RF","RF",true,0,71.706,41.379,2,71.706,41.379,false,0,0
"12",25,1,0,56,"Draggo","RF","RF",false,1,20.105,12.601,1,18.589,11.085,false,0.4027917195786028,0.4027917195786028
"12",26,1,0,35,"Draggo","RF","RF",false,0,8.793,3.819,1,8.793,3.819,false,0,0
"12",27,1,0,17,"Draggo","RF","RF",false,1,32.974,23.708,2,30.706,21.44,false,0.35700026106114324,0.35700026106114324
"12",28,1,1,22,"Draggo","RF","Coupled",true,0,14.927,7.842,1,14.927,7.842,false,0,0
"12",29,1,1,1,"Draggo","RF","Coupled",false,0,14.524,3.625,1,14.524,3.625,false,0,0
"12",30,1,1,42,"Draggo","RF","Coupled",false,0,7.442,3.373,1,7.441,3.372,false,0,0
"12",31,1,1,46,"Draggo","RF","Coupled",false,0,9.807,1.583,1,9.807,1.583,false,0,0
"12",32,1,2,51,"Draggo","ZF","CF",true,0,6.353,1.316,1,6.353,1.316,false,0,0
"12",33,1,2,32,"Draggo","ZF","CF",false,0,17.761,10.688,1,17.761,10.688,false,0,0
"12",34,1,2,15,"Draggo","ZF","CF",false,1,20.467,9.351,1,18.531,7.415,false,0.18409885976137616,0.18409885976137616
"12",35,1,2,47,"Draggo","ZF","CF",false,0,9.561,2.248,1,9.561,2.248,false,0,0
"12",36,1,3,20,"Draggo","RF","CF",true,0,7.244,1.993,1,7.244,1.993,false,0,0
"12",37,1,3,24,"Draggo","RF","CF",false,0,12.509,5.42,1,12.509,5.42,false,0,0
"12",38,1,3,2,"Draggo","RF","CF",false,0,13.091,6.854,1,13.091,6.854,false,0,0
"12",39,1,3,53,"Draggo","RF","CF",false,0,8.069,1.234,1,8.069,1.234,false,0,0
"12",40,1,4,4,"Draggo","ZF","Coupled",true,0,10.122,2.751,1,10.122,2.751,false,0,0
"12",41,1,4,55,"Draggo","ZF","Coupled",false,0,11.744,2.967,1,11.744,2.967,false,0,0
"12",42,1,4,29,"Draggo","ZF","Coupled",false,0,12.021,2.805,1,12.02,2.804,false,0,0
"12",43,1,4,25,"Draggo","ZF","Coupled",false,0,18.433,6.095,1,18.433,6.095,false,0,0
"12",44,1,5,8,"Draggo","ZF","RF",true,0,11.075,5.571,1,11.075,5.571,false,0,0
"12",45,1,5,7,"Draggo","ZF","RF",false,0,8.632,1.47,1,8.632,1.47,false,0,0
"12",46,1,5,41,"Draggo","ZF","RF",false,0,17.726,9.598,1,17.726,9.598,false,0,0
"12",47,1,5,11,"Draggo","ZF","RF",false,0,11.01,3.126,1,11.01,3.126,false,0,0
"13",0,0,0,12,"Goto","RF","CF",true,1,55.366,37.407,2,52.128,34.169,false,0.15959824447988863,0.15959824447988863
"13",1,0,0,27,"Goto","RF","CF",false,0,16.327,3.634,1,16.327,3.634,false,0,0
"13",2,0,0,5,"Goto","RF","CF",false,0,11.943,1.772,1,11.942,1.771,false,0,0
